"plant_name","operator","county","cap_mmcfd","latitude","longitude"
"Ajax Plant","Enbridge Pipelines (Texas Gathering) L.P.","Wheeler",150,35.5464,-100.11626
"Alamo","Energy Transfer Company","Houston",200,31.29948,-95.51805
"Allison Gas Plant"," ","Wheeler",150,35.61864,-100.14509
"Antelope Hills Plant","ETC Field Services LLC","Hemphill",135,35.9983,-100.1206
"Armstrong Plant","Enterprise Products Operating LLC","Eddy",200,29.13389,-97.03916
"Arrowhead Plant","ETC Texas Pipeline, Ltd.","Reeves",220,31.31371,-103.1552
"Austin Giddings","DCP Operating Company, LP","Fayette",95,29.93346,-96.87799
"Azle Plant","Enlink Texas Processing, LP","Parker",50,32.82262,-97.59602
"Bearkat Plant","Coronado Midstream LLC","Glasscock",60,31.95702,-101.49024
"Beckville Plant","Enbridge G & P (East Texas) L.P.","Panola",150,32.18813,-94.26248
"Benedum Complex","Wtg South Permian Midstream LLC","Upton",360,31.36209,-101.77962
"Big Lake Plant"," ","Reagan",200,31.10967,-101.36349
"Block 31 Plant"," ","Crane",41,31.44153,-102.46233
"Bone Springs Gas Processing Plant","Energy Transfer Company","Ward",120,31.45561,-103.39339
"Brasada Gas Plant","Anadarko Petroleum","LaSalle",230,28.42054,-99.25939
"Bridgeport Plant","Enlink Midstream Services, LLC","Wise",800,33.19606,-97.80311
"Bridwell River Ranch Gas Plant","Bridwell Oil Company","Clay",1,33.72994,-98.41484
"Brookeland Plant","ETC Field Services LLC","Jasper",95,31.06255,-93.96112
"Cargray Plant","ETC Field Services LLC","Carson",30,35.52346,-101.13585
"Cedar Hill Gas Plant","Davis Gas Processing Inc","Garza",8,33.16039,-101.40068
"CGU Cordona Lake Plant","XTO Energy, Inc.","Crane",10,31.32501,-102.5625
"Chapel Hill Gas Plant","American Midstream","Smith",25,32.38444,-95.10833
"Chico Plant","Targa Midstream Services, LLC","Wise",265,33.3125,-97.87806
"Chisholm Plant","Energy Transfer Company","Fayette",120,30.00133,-96.88692
"Cornell Mahoney Gas Plant"," ","Yoakum",50,32.99888,-102.87212
"Cowtown/Corvette Plant","Cowtown Gas Processing Partners LP","Hood",300,32.33488,-97.68107
"Coyanosa","ETC Field Services LLC","Pecos",125,31.19083,-102.98944
"Crane Gas Plant"," ","Upton",30,31.41767,-102.16505
