facility_id,facility_name,sector,subsectors,latitude,longitude
1000403,Gold Bond - ROT Plant,Minerals,C_MINERAL,32.83646,-100.44889
1000419,C. R. Wing Cogeneration Plant,Power Plants,D,32.2722,-101.4222
1000470,"Mustang Station Units 4, 5 & 6",Power Plants,D,32.9748,-102.7432
1000481,Quail Run Energy Center,Power Plants,D,31.8414,-102.315
1000604,Big Spring Carbon Black Plant,Chemicals,X,32.273133,-101.405326
1001132,BLOCK 31 GAS PLANT,Petroleum and Natural Gas Systems,"W3,W_Other",31.4417,-102.462
1001305,Mustang Station,Power Plants,D,32.9728,-102.7417
1001365,Odessa-Ector Generating Station,Power Plants,D,31.8378,-102.3278
1001638,Midkiff Gas Plant,Petroleum and Natural Gas Systems,"W3,W_Other",31.502598,-101.911987
1001641,TARGA BOYD COMPRESSOR STATION,Petroleum and Natural Gas Systems,W_Other,31.488611,-101.646111
1001767,Headlee Plant,Petroleum and Natural Gas Systems,"W3,W_Other",31.9626279,-102.3807553
1001806,SEMINOLE GAS PROCESSING PLANT,Petroleum and Natural Gas Systems,"W3,W_Other",32.7578,-102.681
1001990,"EPNG Station 6339 Keystone, TX",Petroleum and Natural Gas Systems,"W4,W_Other",31.9499,-103.1085
1002325,BENEDUM GAS PLANT,Petroleum and Natural Gas Systems,"W3,W_Other",31.362088,-101.77962
1002326,EAST VEALMOOR GAS PLANT,Petroleum and Natural Gas Systems,"W3,W_Other",32.494444,-101.35222
1002334,Jameson Gas Plant,Petroleum and Natural Gas Systems,"W3,W_Other",32.0488,-100.6821
1002375,FULLERTON GAS PLANT,Petroleum and Natural Gas Systems,"W3,W_Other",32.381672,-102.788063
1002378,SOUTHWEST OZONA GAS PLANT,Petroleum and Natural Gas Systems,"W3,W_Other",30.4462,-101.4674
1002381,SPRABERRY GAS PLANT,Petroleum and Natural Gas Systems,"W3,W_Other",31.854713,-101.798988
1002416,ANDECTOR BOOSTER STATION,Petroleum and Natural Gas Systems,W_Other,32.0414,-102.6808
1002420,WEST WADDELL BOOSTER,Petroleum and Natural Gas Systems,W_Other,31.509,-102.6464
1002422,OZONA GAS PLANT,Petroleum and Natural Gas Systems,"W3,W_Other",30.6817,-101.2173
1002451,Mallet CO2 Recovery Plant,Petroleum and Natural Gas Systems,"W3,W_Other",33.46028,-102.56333
1002454,SALT CREEK FIELD GAS PLANT,Petroleum and Natural Gas Systems,"W3,W_Other",33.1351,-100.5208
1002487,REINECKE SITE,Petroleum and Natural Gas Systems,"W3,W_Other",32.568611,-101.257222
1002495,YATES GAS PLANT,Other,"C_OTHER,W3",30.927832,-102.026135
1002509,Charter Waste Landfill,Waste,HH,31.770001,-102.5
1002538,City of Midland MSW Landfill,Waste,HH,32.00004,-102.07569
1002625,SLAUGHTER GASOLINE PLANT,Petroleum and Natural Gas Systems,"W3,W_Other",33.464722,-102.554994
1002629,WASSON CO2 REMOVAL PLANT,Petroleum and Natural Gas Systems,"W3,W_Other",32.99825,-102.81518
1002630,WILLARD CO2 SEPARATION PLANT,Petroleum and Natural Gas Systems,"W3,W_Other",33.02778,-102.81972
1002668,PEGASUS GAS PLANT,Petroleum and Natural Gas Systems,"W3,W_Other",31.6615,-102.1383
1002678,SACROC CO2 TREATMENT,Petroleum and Natural Gas Systems,"W3,W_Other",32.74751,-100.95855
1002680,SNYDER GAS PLANT,Petroleum and Natural Gas Systems,"W3,W_Other",32.747699,-100.923444
1002700,CITY OF SNYDER LANDFILL,Waste,HH,32.683427,-100.81364
1002868,NORTH CROSS COMP STATION 4,Petroleum and Natural Gas Systems,"W3,W_Other",31.10944,-102.298058
1003044,SAN ANGELO LANDFILL,Waste,HH,31.505472,-100.39063
1003128,Terrell Gas Plant,Petroleum and Natural Gas Systems,"W3,W_Other",30.3736,-101.8433
1003250,WAHA CMP STN,Petroleum and Natural Gas Systems,W4,31.273056,-103.07222
1003346,Sterling Gas Plant,Petroleum and Natural Gas Systems,W3,31.970278,-101.236111
1003347,Mertzon Gas Plant,Petroleum and Natural Gas Systems,"W3,W_Other",31.25577,-100.89031
1003682,WTX - CS Red River CS No. 2 (Lamesa),Petroleum and Natural Gas Systems,W4,32.7047222,-102.1805556
1003766,Targa Midstream Services LLC - Waddell Compressor Station,Petroleum and Natural Gas Systems,W_Other,31.51513611,-102.538705
1003767,Sand Hills Gas Plant,Petroleum and Natural Gas Systems,"W3,W_Other",31.409312,-102.415134
1004212,SIERRA MADERA COMPRESSION FACILITY,Other,C_OTHER,30.636111,-101.935556
1004217,Yucca Compressor Station,Petroleum and Natural Gas Systems,W_Other,30.455658,-102.719719
1004248,Gomez Gas Plant,Petroleum and Natural Gas Systems,"W3,W_Other",30.973061,-102.97139
1004250,Mitchell Gas Plant,Petroleum and Natural Gas Systems,"W3,W_Other",30.670556,-102.49333
1004294,GREY RANCH TREATING PLANT,Petroleum and Natural Gas Systems,"W3,W_Other",30.5541,-102.4411
1004297,MITCHELL COMPRESSOR STATION,Other,C_OTHER,30.671543,-102.48981
1004299,PIKES PEAK GAS PLANT,Petroleum and Natural Gas Systems,W3,30.638111,-102.943139
1004301,Century Gas Plant,Petroleum and Natural Gas Systems,W3,30.610401,-102.579371
1004338,Diamond Y Compressor Station,Petroleum and Natural Gas Systems,W_Other,30.856835,-102.759485
1004827,Waha Gas Plant,Petroleum and Natural Gas Systems,"W3,W_Other",31.159975,-103.104845
1005084,Sonora Gas Plant,Petroleum and Natural Gas Systems,"W3,W_Other",30.299814,-100.644769
1005181,Keystone Gas Plant,Petroleum and Natural Gas Systems,"W3,W_Other",31.946927,-103.043207
1005215,Mivida Treater Plant,Petroleum and Natural Gas Systems,W3,31.5225,-103.465278
1005691,Waha Gas Plant,Petroleum and Natural Gas Systems,"W3,W_Other",31.2684,-103.0862
1005692,Western Pyote Compressor Station,Petroleum and Natural Gas Systems,"W4,W_Other",31.504705,-103.139435
1005815,OZONA CMP STN,Petroleum and Natural Gas Systems,W4,30.6327,-101.07121
1005858,DENVER UNIT CO 2 RECOVERY PLANT,Petroleum and Natural Gas Systems,"W3,W_Other",32.98019,-102.8172
